,game,model,experiment,episode,metric,value
30,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,4_medium_ambiguity,episode_0,Parsed Request Count,62.0
31,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,4_medium_ambiguity,episode_0,Aborted,0.0
32,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,4_medium_ambiguity,episode_0,Success,0.0
33,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,4_medium_ambiguity,episode_0,Lose,1.0
34,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,4_medium_ambiguity,episode_0,Main Score,0.0
35,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Request Count,62.0
36,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Violated Request Count,0.0
37,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Parsed Request Count,62.0
38,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Aborted,0.0
39,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Success,0.0
40,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Lose,1.0
41,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Main Score,0.0
42,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Request Count,40.0
43,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Violated Request Count,0.0
44,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Parsed Request Count,40.0
45,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Aborted,0.0
46,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Success,0.0
47,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Lose,1.0
48,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Main Score,28.571428571428573
49,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Request Count,28.0
50,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Violated Request Count,0.0
51,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Parsed Request Count,28.0
52,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Aborted,0.0
53,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Success,0.0
54,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Lose,1.0
55,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Main Score,50.0
56,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Request Count,16.0
57,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Violated Request Count,0.0
58,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Parsed Request Count,16.0
59,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Aborted,0.0
60,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Success,1.0
61,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Lose,0.0
62,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Main Score,100.0
63,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Request Count,65.0
64,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Violated Request Count,0.0
65,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Parsed Request Count,65.0
66,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Aborted,0.0
67,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Success,0.0
68,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Lose,1.0
69,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Main Score,0.0
70,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Request Count,64.0
71,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Violated Request Count,0.0
72,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Parsed Request Count,64.0
73,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Aborted,0.0
74,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Success,0.0
75,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Lose,1.0
76,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Main Score,0.0
77,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Request Count,25.0
78,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Violated Request Count,0.0
79,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Parsed Request Count,25.0
80,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Aborted,0.0
81,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Success,1.0
82,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Lose,0.0
83,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Main Score,88.88888888888889
84,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,2_large,episode_0,Played,1.0
85,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,9_tree,episode_0,Played,1.0
86,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,7_ladder,episode_0,Played,1.0
87,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,11_far,episode_0,Played,1.0
88,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,4_medium_ambiguity,episode_0,Played,1.0
89,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,0_small,episode_0,Played,1.0
90,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,1_medium,episode_0,Played,1.0
91,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,5_high_ambiguity,episode_0,Played,1.0
92,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,10_near,episode_0,Played,1.0
93,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,3_low_ambiguity,episode_0,Played,1.0
94,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,8_star,episode_0,Played,1.0
95,escape_room,InternVL3-14B-t0.0--InternVL3-14B-t0.0,6_path,episode_0,Played,1.0
